20-30K,"大数据开发工程师
北京·海淀区·西北旺
20-30K
在校/应届本科
李女士HR",北京·海淀区·西北旺
15-30K·15薪,"Android开发工程师
北京·海淀区·中关村
15-30K·15薪
在校/应届本科
马先生软件研发总监",北京·海淀区·中关村
16-30K,"无线解决方案测试工程师
上海·浦东新区·金桥
16-30K
在校/应届本科
黄先生高级工程师",上海·浦东新区·金桥
15-30K,"数据开发
南京·建邺区·奥体
15-30K
在校/应届硕士
林先生招聘者",南京·建邺区·奥体
20-40K·15薪,"推荐算法工程师
北京·海淀区·上地
20-40K·15薪
在校/应届本科
顾先生工程师",北京·海淀区·上地
20-40K,"测试开发工程师21校招
北京
20-40K
在校/应届本科
邱先生电商测试开发工程师",北京
25-40K·14薪,"搜索算法工程师
北京
25-40K·14薪
在校/应届硕士
刘先生搜索算法总监",北京
18-25K·16薪,"3D标定算法工程师
广州·黄埔区·科学城
18-25K·16薪
在校/应届硕士
李先生算法工程师",广州·黄埔区·科学城
14-28K·14薪,"游戏引擎/工具研发工程师
广州
14-28K·14薪
在校/应届学历不限
喻女士HRBP",广州
11-22K,"阿里云弹性计算工程效能2021校园招聘
北京·朝阳区·望京
11-22K
在校/应届硕士
张先生技术专家",北京·朝阳区·望京
20-35K·16薪,"【校招】算法工程师
北京·朝阳区·太阳宫
20-35K·16薪
在校/应届本科
B女士校园招聘",北京·朝阳区·太阳宫
500-1000元/天,"前端开发实习生（抖音）-可转正
杭州
500-1000元/天
4天/周3个月本科
胡女士前端工程师",杭州
500-1000元/天,"前端开发实习生（抖音）-可转正
杭州
500-1000元/天
4天/周3个月本科
胡女士前端工程师",杭州
15-25K,"Java开发工程师
北京·朝阳区·望京
15-25K
在校/应届本科
邓先生技术专家",北京·朝阳区·望京
12-24K,"应届生/实习生--前端/java/安卓/ios
上海·浦东新区·张江
12-24K
在校/应届本科
葛女士招聘者",上海·浦东新区·张江
15-30K,"软件开发工程师 （通用软件开发工程师）
北京·海淀区·西北旺
15-30K
在校/应届本科
胡女士招聘HR",北京·海淀区·西北旺
18-25K,"测试开发工程师
北京·海淀区·西北旺
18-25K
在校/应届本科
李女士HR",北京·海淀区·西北旺
15-25K·15薪,"golang
北京·朝阳区·酒仙桥
15-25K·15薪
在校/应届本科
李女士HRBP",北京·朝阳区·酒仙桥
12-22K,"2021校招-Android/IOS客户端开发工程师
广州
12-22K
在校/应届本科
谭先生招聘者",广州
19-35K,"C
北京·海淀区·西北旺
19-35K
在校/应届本科
冯先生招聘HR",北京·海淀区·西北旺
15-25K,"Java
上海·浦东新区·陆家嘴
15-25K
在校/应届本科
厉先生高级软件工程师",上海·浦东新区·陆家嘴
15-30K·16薪,"蚂蚁花呗借呗2022级校园招聘
杭州·西湖区·黄龙
15-30K·16薪
在校/应届本科
蔡先生技术专家",杭州·西湖区·黄龙
25-35K·14薪,"算法工程师
北京·朝阳区·鸟巢
25-35K·14薪
在校/应届硕士
李女士技术研发项目经理",北京·朝阳区·鸟巢
35-60K·16薪,"推荐算法工程师
北京·朝阳区·太阳宫
35-60K·16薪
在校/应届本科
刘女士算法工程师",北京·朝阳区·太阳宫
18-25K·16薪,"三维视觉算法研究员
广州·黄埔区·科学城
18-25K·16薪
在校/应届硕士
刘女士视觉算法工程师",广州·黄埔区·科学城
22-30K·15薪,"自动化测试
北京·海淀区·中关村
22-30K·15薪
在校/应届本科
张先生测试开发工程师",北京·海淀区·中关村
20-30K,"数据挖掘
杭州·余杭区·五常
20-30K
在校/应届硕士
万先生资深专家",杭州·余杭区·五常
20-40K·24薪,"人工智能研究员
上海
20-40K·24薪
在校/应届博士
王先生无线AI使能部高级工程师",上海
12-24K,"Java/Android工程师(校招/实习)
上海·浦东新区·张江
12-24K
在校/应届本科
陈先生招聘员",上海·浦东新区·张江
15-30K·15薪,"测试开发工程师
北京·朝阳区·酒仙桥
15-30K·15薪
在校/应届本科
刘先生校园招聘专家",北京·朝阳区·酒仙桥
20-30K,"Java开发工程师
北京·海淀区·西北旺
20-30K
在校/应届本科
李女士HR",北京·海淀区·西北旺
18-35K,"AI工程师-留学生校招
深圳·龙岗区·坂田
18-35K
在校/应届本科
陀女士HR",深圳·龙岗区·坂田
12-24K·13薪,"机器学习
广州·天河区·岑村
12-24K·13薪
在校/应届硕士
曾先生招聘者",广州·天河区·岑村
15-30K·16薪,"2022届毕业生 后端研发
北京·朝阳区·团结湖
15-30K·16薪
在校/应届本科
权先生高级技术专家",北京·朝阳区·团结湖
20-30K·16薪,"【校招】算法工程师
北京·朝阳区·太阳宫
20-30K·16薪
在校/应届本科
B女士校园招聘",北京·朝阳区·太阳宫
23-35K·16薪,"算法工程师（机器学习）
北京
23-35K·16薪
在校/应届硕士
代先生高级算法工程师",北京
20-40K,"Java开发工程师
南京·雨花台区·南京南站
20-40K
在校/应届学历不限
李女士招聘hr",南京·雨花台区·南京南站
14-28K,"JAVA工程师/Android工程师（应届/实习）
上海·浦东新区·张江
14-28K
在校/应届本科
葛女士招聘者",上海·浦东新区·张江
18-35K,"通用软件开发工程师 - 留学生校招
西安·雁塔区·高新软件园
18-35K
在校/应届本科
陀女士HR",西安·雁塔区·高新软件园
16-25K·15薪,"服务端开发
北京·朝阳区·酒仙桥
16-25K·15薪
在校/应届本科
李女士HRBP",北京·朝阳区·酒仙桥
20-30K,"计算机视觉算法工程师
北京·海淀区·西北旺
20-30K
在校/应届硕士
李女士HR",北京·海淀区·西北旺
13-26K·16薪,"蚂蚁集团技术风险部2022届校招招聘
北京
13-26K·16薪
在校/应届本科
张女士技术专家",北京
15-28K,"java开发（校招）
上海·浦东新区·张江
15-28K
在校/应届本科
葛女士招聘者",上海·浦东新区·张江
16-30K·16薪,"留学生全栈工程师
深圳·龙岗区·坂田
16-30K·16薪
在校/应届本科
石先生华为高级工程师",深圳·龙岗区·坂田
15-30K·15薪,"推荐算法工程师
北京·朝阳区·酒仙桥
15-30K·15薪
在校/应届本科
刘先生校园招聘专家",北京·朝阳区·酒仙桥
20-30K,"NLP算法工程师
北京·海淀区·西北旺
20-30K
在校/应届硕士
李女士HR",北京·海淀区·西北旺
21-30K,"算法工程师
上海·浦东新区·陆家嘴
21-30K
在校/应届硕士
朱先生算法工程师",上海·浦东新区·陆家嘴
20-35K·16薪,"【校招】算法工程师
北京·朝阳区·太阳宫
20-35K·16薪
在校/应届本科
B女士校园招聘",北京·朝阳区·太阳宫
15-25K·14薪,"软件开发工程师
杭州·滨江区·长河
15-25K·14薪
在校/应届本科
薛女士招聘HR",杭州·滨江区·长河
20-29K·13薪,"实习算法工程师（杭州北京）
杭州·余杭区·五常
20-29K·13薪
在校/应届本科
林先生高级数据挖掘专家",杭州·余杭区·五常
15-30K·16薪,"留学生全栈工程师
西安·雁塔区·高新软件园
15-30K·16薪
在校/应届本科
石先生华为高级工程师",西安·雁塔区·高新软件园
20-35K·15薪,"自然语言处理工程师
北京·朝阳区·酒仙桥
20-35K·15薪
在校/应届硕士
王女士HRBP",北京·朝阳区·酒仙桥
12-24K,"Java工程师
上海·浦东新区·张江
12-24K
在校/应届本科
洪先生java软件开发工程师",上海·浦东新区·张江
20-30K,"C++开发工程师
北京·海淀区·西北旺
20-30K
在校/应届本科
李女士HR",北京·海淀区·西北旺
20-40K·16薪,"Java开发工程师
杭州
20-40K·16薪
在校/应届本科
李先生高级开发工程师",杭州
15-25K·14薪,"软件开发工程师
西安·雁塔区·高新软件园
15-25K·14薪
在校/应届本科
薛女士招聘HR",西安·雁塔区·高新软件园
20-40K·16薪,"【2022届校招】Java
杭州·余杭区·未来科技城
20-40K·16薪
在校/应届本科
杨先生技术专家",杭州·余杭区·未来科技城
18-35K,"软件测试工程师-留学生校招
武汉·江夏区·光谷东
18-35K
在校/应届本科
陀女士HR",武汉·江夏区·光谷东
19-28K·15薪,"服务端开发工程师-C++
北京
19-28K·15薪
在校/应届硕士
王女士HRBP",北京
12-24K,"Android工程师
上海·浦东新区·张江
12-24K
在校/应届本科
洪先生java软件开发工程师",上海·浦东新区·张江
20-30K,"iOS开发工程师
北京·海淀区·西北旺
20-30K
在校/应届本科
李女士HR",北京·海淀区·西北旺
15-25K,"Java开发工程师
上海·浦东新区·陆家嘴
15-25K
在校/应届本科
厉先生高级软件工程师",上海·浦东新区·陆家嘴
16-30K,"网络安全工程师
上海·浦东新区·金桥
16-30K
在校/应届本科
方女士HR Manager",上海·浦东新区·金桥
18-35K,"软件开发工程师-留学生校招
深圳·龙岗区·坂田
18-35K
在校/应届本科
陀女士HR",深圳·龙岗区·坂田
20-35K·15薪,"推荐算法工程师
北京·朝阳区·酒仙桥
20-35K·15薪
在校/应届硕士
王女士HRBP",北京·朝阳区·酒仙桥
500-1000元/天,"测试开发工程师(实习)
杭州·余杭区·五常
500-1000元/天
4天/周1个月本科
宋女士测试开发",杭州·余杭区·五常
12-24K,"Java工程师
上海·浦东新区·张江
12-24K
在校/应届本科
王先生项目经理",上海·浦东新区·张江
20-30K·14薪,"高性能计算工程师（C++）
北京·海淀区·西北旺
20-30K·14薪
在校/应届学历不限
李女士HR",北京·海淀区·西北旺
20-40K·16薪,"数据分析师
杭州
20-40K·16薪
在校/应届本科
李先生高级开发工程师",杭州
